Teamnum,Teamname,overflow,r1RoundinfoNumberRed,r1RoundinfoNumberBlue,r1RoundinfoNameRed,r1RoundinfoNameBlue,r1AlliancemateNumberRed,r1AlliancemateNumberBlue,r1AlliancemateNameRed,r1AlliancemateNameBlue,r1Opponent1NumberRed,r1Opponent1NumberBlue,r1Opponent1NameRed,r1Opponent1NameBlue,r1Opponent2NumberRed,r1Opponent2NumberBlue,r1Opponent2NameRed,r1Opponent2NameBlue,r2RoundinfoNumberRed,r2RoundinfoNumberBlue,r2RoundinfoNameRed,r2RoundinfoNameBlue,r2AlliancemateNumberRed,r2AlliancemateNumberBlue,r2AlliancemateNameRed,r2AlliancemateNameBlue,r2Opponent1NumberRed,r2Opponent1NumberBlue,r2Opponent1NameRed,r2Opponent1NameBlue,r2Opponent2NumberRed,r2Opponent2NumberBlue,r2Opponent2NameRed,r2Opponent2NameBlue,r3RoundinfoNumberRed,r3RoundinfoNumberBlue,r3RoundinfoNameRed,r3RoundinfoNameBlue,r3AlliancemateNumberRed,r3AlliancemateNumberBlue,r3AlliancemateNameRed,r3AlliancemateNameBlue,r3Opponent1NumberRed,r3Opponent1NumberBlue,r3Opponent1NameRed,r3Opponent1NameBlue,r3Opponent2NumberRed,r3Opponent2NumberBlue,r3Opponent2NameRed,r3Opponent2NameBlue,r4RoundinfoNumberRed,r4RoundinfoNumberBlue,r4RoundinfoNameRed,r4RoundinfoNameBlue,r4AlliancemateNumberRed,r4AlliancemateNumberBlue,r4AlliancemateNameRed,r4AlliancemateNameBlue,r4Opponent1NumberRed,r4Opponent1NumberBlue,r4Opponent1NameRed,r4Opponent1NameBlue,r4Opponent2NumberRed,r4Opponent2NumberBlue,r4Opponent2NameRed,r4Opponent2NameBlue,r5RoundinfoNumberRed,r5RoundinfoNumberBlue,r5RoundinfoNameRed,r5RoundinfoNameBlue,r5AlliancemateNumberRed,r5AlliancemateNumberBlue,r5AlliancemateNameRed,r5AlliancemateNameBlue,r5Opponent1NumberRed,r5Opponent1NumberBlue,r5Opponent1NameRed,r5Opponent1NameBlue,r5Opponent2NumberRed,r5Opponent2NumberBlue,r5Opponent2NameRed,r5Opponent2NameBlue,r6RoundinfoNumberRed,r6RoundinfoNumberBlue,r6RoundinfoNameRed,r6RoundinfoNameBlue,r6AlliancemateNumberRed,r6AlliancemateNumberBlue,r6AlliancemateNameRed,r6AlliancemateNameBlue,r6Opponent1NumberRed,r6Opponent1NumberBlue,r6Opponent1NameRed,r6Opponent1NameBlue,r6Opponent2NumberRed,r6Opponent2NumberBlue,r6Opponent2NameRed,r6Opponent2NameBlue,r7RoundinfoNumberRed,r7RoundinfoNumberBlue,r7RoundinfoNameRed,r7RoundinfoNameBlue,r7AlliancemateNumberRed,r7AlliancemateNumberBlue,r7AlliancemateNameRed,r7AlliancemateNameBlue,r7Opponent1NumberRed,r7Opponent1NumberBlue,r7Opponent1NameRed,r7Opponent1NameBlue,r7Opponent2NumberRed,r7Opponent2NumberBlue,r7Opponent2NameRed,r7Opponent2NameBlue,r8RoundinfoNumberRed,r8RoundinfoNumberBlue,r8RoundinfoNameRed,r8RoundinfoNameBlue,r8AlliancemateNumberRed,r8AlliancemateNumberBlue,r8AlliancemateNameRed,r8AlliancemateNameBlue,r8Opponent1NumberRed,r8Opponent1NumberBlue,r8Opponent1NameRed,r8Opponent1NameBlue,r8Opponent2NumberRed,r8Opponent2NumberBlue,r8Opponent2NameRed,r8Opponent2NameBlue,r9RoundinfoNumberRed,r9RoundinfoNumberBlue,r9RoundinfoNameRed,r9RoundinfoNameBlue,r9AlliancemateNumberRed,r9AlliancemateNumberBlue,r9AlliancemateNameRed,r9AlliancemateNameBlue,r9Opponent1NumberRed,r9Opponent1NumberBlue,r9Opponent1NameRed,r9Opponent1NameBlue,r9Opponent2NumberRed,r9Opponent2NumberBlue,r9Opponent2NameRed,r9Opponent2NameBlue
25,Rock 'n Roll Robots,,1,,red 1,,5026,,Tesla Coils,,,5110,,Wingus & Dingus,,7013,,Hot Wired,,18,,blue 1,,9753,,Technomancers,3491,,FIX IT,,5257,,Eagles Xperience,,39,,red 2,,5916,,Bo-Bots,,,3888,,Greased Lightning,,5200,,Robots Incorporated,58,,red 1,,6055,,GearTicks,,,365,,Miracle Workerz,,4997,,Masquerade,,70,,blue 1,,5206,,The Knights of Ni,6134,,Black Frogs,,4378,,Black Box Robotics,,,82,,blue 2,,5215,,THAT Team,3631,,Middle Earth Mechs,,5842,,The Vampires,,97,,red 2,,7953,,Vertigo,,,6987,,Hat Trix,,7152,,Robot Squad,,114,,blue 2,,6312,,GOLDEN TIGERS,7591,,Voltage Imagination,,4290,,High PHidelity,,,134,,blue 1,,542,,WHS Robotics,9757,,Team Tulip,,8339,,Galaxy Robotechs,
365,Miracle Workerz,,2,,red 1,,6134,,Black Frogs,,,6565,,Stuffed Dragons,,3113,,Some Disassembly,29,,red 1,,5200,,Robots Incorporated,,,5940,,Rockin' Robots,,5110,,Wingus & Dingus,42,,red 2,,5215,,THAT Team,,,8339,,Galaxy Robotechs,,4625,,Kings and Queens,,58,,blue 1,,4997,,Masquerade,25,,Rock 'n Roll Robots,,6055,,GearTicks,,,74,,blue 2,,6987,,Hat Trix,9164,,Zorrobots,,542,,WHS Robotics,,,93,,blue 1,,4290,,High PHidelity,9755,,HCC-2,,3491,,FIX IT,,,110,,blue 2,,3888,,Greased Lightning,5972,,Patronum Bots,,3631,,Middle Earth Mechs,,118,,red 1,,8716,,Techaholix,,,6002,,Basilisks,,5843,,AutoVortex,,129,,blue 2,,5890,,e-lemon-ators,8231,,Skyhawks,,9753,,Technomancers,
542,WHS Robotics,,3,,red 1,,5842,,The Vampires,,,7152,,Robot Squad,,3491,,FIX IT,,22,,blue 2,,5391,,Enigma Puzzlers,9755,,HCC-2,,4378,,Black Box Robotics,,,36,,blue 2,,4290,,High PHidelity,9753,,Technomancers,,5026,,Tesla Coils,,50,,red 1,,3113,,Some Disassembly,,,5916,,Bo-Bots,,8911,,Da Vinci Decoders,74,,red 2,,9164,,Zorrobots,,,6987,,Hat Trix,,365,,Miracle Workerz,,84,,blue 2,,3480,,FrostByte,5843,,AutoVortex,,8498,,The Evil Purple Sox,,101,,red 2,,4443,,Sock Monkeys,,,7129,,Robo Raiders,,4211,,The Bombers,,120,,blue 2,,5200,,Robots Incorporated,4130,,Robotica Santi,,7953,,Vertigo,,,134,,blue 2,,25,,Rock 'n Roll Robots,9757,,Team Tulip,,8339,,Galaxy Robotechs,
3113,Some Disassembly,,,2,,blue 2,,6565,,Stuffed Dragons,365,,Miracle Workerz,,6134,,Black Frogs,,,17,,blue 1,,5842,,The Vampires,6022,,To Be Determined,,7013,,Hot Wired,,,35,,blue 2,,3631,,Middle Earth Mechs,6210,,ViperBots Stryke,,6002,,Basilisks,,50,,red 2,,542,,WHS Robotics,,,5916,,Bo-Bots,,8911,,Da Vinci Decoders,65,,red 2,,3480,,FrostByte,,,3491,,FIX IT,,7182,,Mechanical Paradox,,87,,blue 1,,7591,,Voltage Imagination,5200,,Robots Incorporated,,5972,,Patronum Bots,,,103,,blue 2,,4150,,Dark Matter,4290,,High PHidelity,,4130,,Robotica Santi,,127,,red 1,,7152,,Robot Squad,,,6055,,GearTicks,,5215,,THAT Team,,144,,blue 2,,9755,,HCC-2,5026,,Tesla Coils,,7190,,Green Girls,
3480,FrostByte,,14,,red 1,,6210,,ViperBots Stryke,,,6055,,GearTicks,,5206,,The Knights of Ni,,23,,blue 2,,7129,,Robo Raiders,8405,,Miller Robotics,,6911,,James Ruse,,,33,,blue 1,,5972,,Patronum Bots,7190,,Green Girls,,6134,,Black Frogs,,57,,red 1,,4290,,High PHidelity,,,4443,,Sock Monkeys,,9757,,Team Tulip,65,,red 1,,3113,,Some Disassembly,,,3491,,FIX IT,,7182,,Mechanical Paradox,,84,,blue 1,,542,,WHS Robotics,5843,,AutoVortex,,8498,,The Evil Purple Sox,,99,,red 1,,8339,,Galaxy Robotechs,,,4997,,Masquerade,,8716,,Techaholix,,116,,blue 2,,4150,,Dark Matter,6109,,Punabots,,4625,,Kings and Queens,,130,,red 2,,6565,,Stuffed Dragons,,,5842,,The Vampires,,4378,,Black Box Robotics
3491,FIX IT,,,3,,blue 2,,7152,,Robot Squad,542,,WHS Robotics,,5842,,The Vampires,,18,,red 1,,5257,,Eagles Xperience,,,25,,Rock 'n Roll Robots,,9753,,Technomancers,,34,,blue 2,,4150,,Dark Matter,8911,,Da Vinci Decoders,,7129,,Robo Raiders,,54,,red 1,,4378,,Black Box Robotics,,,4625,,Kings and Queens,,6022,,To Be Determined,,65,,blue 1,,7182,,Mechanical Paradox,3480,,FrostByte,,3113,,Some Disassembly,,93,,red 2,,9755,,HCC-2,,,365,,Miracle Workerz,,4290,,High PHidelity,108,,red 1,,5206,,The Knights of Ni,,,4924,,Tuxedo Pandas,,5200,,Robots Incorporated,,126,,blue 2,,5972,,Patronum Bots,4251,,Cougar Robotics,,5391,,Enigma Puzzlers,,,136,,blue 1,,6312,,GOLDEN TIGERS,6210,,ViperBots Stryke,,7398,,BLUE CREW,
3631,Middle Earth Mechs,,,12,,blue 2,,9751,,RAMS,7129,,Robo Raiders,,8231,,Skyhawks,,26,,red 1,,9164,,Zorrobots,,,8339,,Galaxy Robotechs,,6312,,GOLDEN TIGERS,,35,,blue 1,,3113,,Some Disassembly,6210,,ViperBots Stryke,,6002,,Basilisks,,,53,,blue 2,,5391,,Enigma Puzzlers,7182,,Mechanical Paradox,,5200,,Robots Incorporated,,,67,,blue 1,,6911,,James Ruse,4251,,Cougar Robotics,,4625,,Kings and Queens,,82,,red 1,,5842,,The Vampires,,,5215,,THAT Team,,25,,Rock 'n Roll Robots,110,,red 2,,5972,,Patronum Bots,,,3888,,Greased Lightning,,365,,Miracle Workerz,125,,red 2,,5206,,The Knights of Ni,,,6987,,Hat Trix,,9755,,HCC-2,,133,,blue 2,,6455,,MoHawk Warriors,5843,,AutoVortex,,4150,,Dark Matter,
3888,Greased Lightning,,15,,red 2,,4997,,Masquerade,,,5890,,e-lemon-ators,,4130,,Robotica Santi,31,,red 2,,4625,,Kings and Queens,,,5206,,The Knights of Ni,,8231,,Skyhawks,,39,,blue 1,,5200,,Robots Incorporated,5916,,Bo-Bots,,25,,Rock 'n Roll Robots,,55,,red 1,,8498,,The Evil Purple Sox,,,6002,,Basilisks,,4150,,Dark Matter,73,,red 2,,8911,,Da Vinci Decoders,,,7013,,Hot Wired,,4174,,Atomic Theory,,96,,blue 1,,9751,,RAMS,7190,,Green Girls,,4924,,Tuxedo Pandas,,,110,,blue 1,,365,,Miracle Workerz,5972,,Patronum Bots,,3631,,Middle Earth Mechs,,119,,red 1,,9164,,Zorrobots,,,4886,,Robo Junkies,,6022,,To Be Determined,,143,,blue 2,,5391,,Enigma Puzzlers,7152,,Robot Squad,,7129,,Robo Raiders,
4130,Robotica Santi,,,15,,blue 2,,5890,,e-lemon-ators,4997,,Masquerade,,3888,,Greased Lightning,,,28,,blue 1,,6455,,MoHawk Warriors,9757,,Team Tulip,,8498,,The Evil Purple Sox,,37,,red 1,,4378,,Black Box Robotics,,,7591,,Voltage Imagination,,6911,,James Ruse,,49,,blue 1,,9751,,RAMS,5026,,Tesla Coils,,4251,,Cougar Robotics,,76,,red 2,,9755,,HCC-2,,,5972,,Patronum Bots,,8231,,Skyhawks,,89,,blue 1,,4886,,Robo Junkies,5391,,Enigma Puzzlers,,6210,,ViperBots Stryke,,103,,red 2,,4290,,High PHidelity,,,4150,,Dark Matter,,3113,,Some Disassembly,120,,red 1,,7953,,Vertigo,,,5200,,Robots Incorporated,,542,,WHS Robotics,,135,,blue 2,,7182,,Mechanical Paradox,6134,,Black Frogs,,8716,,Techaholix,
4150,Dark Matter,,11,,red 2,,6987,,Hat Trix,,,4378,,Black Box Robotics,,7182,,Mechanical Paradox,19,,red 1,,4211,,The Bombers,,,5916,,Bo-Bots,,6134,,Black Frogs,,34,,blue 1,,3491,,FIX IT,8911,,Da Vinci Decoders,,7129,,Robo Raiders,,,55,,blue 2,,6002,,Basilisks,3888,,Greased Lightning,,8498,,The Evil Purple Sox,,71,,red 1,,5391,,Enigma Puzzlers,,,5110,,Wingus & Dingus,,8339,,Galaxy Robotechs,81,,red 2,,5257,,Eagles Xperience,,,6911,,James Ruse,,9757,,Team Tulip,,103,,blue 1,,3113,,Some Disassembly,4290,,High PHidelity,,4130,,Robotica Santi,,,116,,blue 1,,3480,,FrostByte,6109,,Punabots,,4625,,Kings and Queens,,133,,red 2,,5843,,AutoVortex,,,6455,,MoHawk Warriors,,3631,,Middle Earth Mechs
